#plate,mjd,fiberID,RA,Dec
2220,53795,387,173.060200,29.939184
2217,53794,422,171.110560,29.866928
2217,53794,464,171.618780,29.871767
2220,53795,504,174.311620,30.157543
2220,53795,515,174.301810,30.128243
2230,53799,581,184.848890,30.500743
2230,53799,621,185.104760,30.521266
2604,54484,514,198.989910,17.164961
2612,54480,25,188.693050,19.423292
2614,54481,109,191.961320,19.384184
2598,54232,448,187.145620,18.590173
2601,54144,22,193.232650,17.454294
2604,54484,191,198.459100,17.076235
2604,54484,436,198.224730,17.153816
2604,54484,487,198.738640,17.225155
2604,54484,488,198.719900,17.232513
2612,54480,252,186.835950,18.715468
2613,54481,68,190.618860,19.466278
5867,56034,321,198.986570,17.165043
2234,53823,116,188.433640,29.628375
2234,53823,120,188.179050,29.712392
2234,53823,126,187.718730,28.971971
2643,54208,442,180.651350,23.783106
2655,54184,176,180.182940,24.855980
2656,54484,313,180.812940,24.796110
2220,53795,244,173.538940,28.595065
2220,53795,258,173.478200,28.623395
2505,53856,117,174.951540,23.532473
2511,53882,426,176.822560,23.687339
2511,53882,430,176.888600,23.622136
2655,54184,84,180.696610,23.747834
2655,54184,85,180.610500,23.818845
2510,53877,628,178.010880,25.751119
1979,53431,195,170.009540,30.581352
1979,53431,17,171.700060,31.262942
1979,53431,193,170.087520,30.625705
2507,53876,337,174.623810,23.099241
2510,53877,624,178.188450,25.654861
2514,53882,412,178.665500,25.944066
2643,54208,339,179.720470,23.318586
2655,54184,489,180.238190,25.582186
2664,54524,322,199.830600,24.983528
2218,53816,464,172.160840,27.397014
2216,53795,625,172.012890,27.386047
2216,53795,636,171.980190,27.347021
2218,53816,471,172.113830,27.397321
2218,53816,500,172.238360,27.375350
1979,53431,154,170.269960,31.252268
2617,54502,220,196.794730,18.461478
2601,54144,141,192.275410,17.025818
2657,54502,339,182.835070,26.031770
1974,53430,487,173.552660,32.243020
2613,54481,131,189.783500,18.868733
2613,54481,205,189.492820,18.869314
2617,54502,218,196.828630,18.594714
2617,54502,219,196.790960,18.652391
2595,54207,159,181.372640,17.016665
2217,53794,10,172.829860,28.383057
2218,53816,402,172.077840,28.159781
2218,53816,565,172.829700,28.271665
2218,53816,570,172.885130,28.288152
2220,53795,84,174.621040,28.504238
2217,53794,17,172.691920,28.168442
2218,53816,537,172.422600,28.259830
2217,53794,95,172.205290,28.317428
2217,53794,121,171.760730,28.241519
2217,53794,140,171.758850,28.075381
2226,53819,48,180.717120,26.252806
2227,53820,250,180.669590,26.213801
2220,53795,254,173.691410,28.716201
2656,54484,321,180.936470,26.062473
2662,54505,279,194.644860,24.393543
2215,53793,40,170.700910,28.918286
2225,53729,451,180.102560,31.112283
2029,53819,173,196.516940,31.469343
2218,53816,437,171.758640,27.147348
2505,53856,48,175.895100,23.944317
2510,53877,197,176.677380,23.963399
2510,53877,236,176.651630,23.954585
2510,53877,290,175.785560,24.004503
2510,53877,319,175.758490,23.944434
2514,53882,61,179.241490,24.129469
2655,54184,134,180.565080,24.152266
2655,54184,294,179.644560,24.117198
2217,53794,432,171.129480,29.573541
2514,53882,444,178.896390,25.889454
2514,53882,458,178.998210,25.842372
2029,53819,606,197.583910,32.483195
2649,54212,221,193.140560,22.064717
2649,54212,23,194.947240,21.813210
2649,54212,45,194.321640,21.338230
2660,54504,243,189.948700,24.173405
2648,54485,438,190.398860,22.494848
2648,54485,496,190.997110,22.566544
2646,54479,233,185.564480,22.507703
2647,54495,611,189.673510,23.336604
2219,53816,402,173.608210,28.075832
2218,53816,325,171.099520,27.712611
1979,53431,189,170.033200,30.500198
2511,53882,367,175.937540,22.803519
2511,53882,423,176.847080,23.365993
2647,54495,608,189.444530,23.650246
2008,53473,274,174.452210,30.927139
2510,53877,74,177.432380,23.445179
2500,54178,286,171.670550,20.725387
2510,53877,62,177.232110,23.909822
2612,54480,385,186.417270,20.528470
2612,54480,388,186.401000,20.454387
2613,54481,341,188.125240,20.465551
2615,54483,635,195.240390,19.686987
2616,54499,615,196.039290,20.250891
2217,53794,324,170.806870,30.114817
2217,53794,326,170.521520,30.203772
2220,53795,369,173.489940,30.373413
2225,53729,534,180.545210,30.951664
2229,53823,69,183.846510,26.884989
2510,53877,239,176.468010,23.866900
2514,53882,12,179.362370,23.918428
2514,53882,59,179.098660,23.867955
2514,53882,285,177.880360,23.862870
1974,53430,533,173.966410,32.156989
2220,53795,122,174.354790,28.390384
2216,53795,530,171.016260,28.043988
2218,53816,575,172.835160,28.201263
2219,53816,328,173.104860,28.228493
2220,53795,206,174.073020,28.322764
2229,53823,202,182.610290,26.367421
2229,53823,217,182.622880,26.253310
2229,53823,245,182.541550,26.424386
2615,54483,421,193.439340,20.093407
2655,54184,94,180.699010,23.893926
1979,53431,456,170.247580,31.631099
1979,53431,458,170.216880,31.460141
2098,53460,248,173.691940,32.232076
2514,53882,352,177.342020,24.938472
2514,53882,436,178.136490,25.043208
2612,54480,397,186.177810,20.257819
2612,54480,586,188.408380,20.239659
2613,54481,399,188.541860,20.211180
2614,54481,494,191.613890,20.289127
2613,54481,586,190.310250,20.666189
2645,54477,33,185.722350,22.447391
2647,54495,32,189.529270,22.313653
2646,54479,111,187.082180,22.417205
2647,54495,261,187.455770,22.372141
2647,54495,263,187.349940,22.363555
2603,54479,544,196.895740,17.782995
2603,54479,588,196.936000,17.801047
2603,54479,590,196.912180,17.793456
2615,54483,423,193.243640,19.915896
2600,54243,574,190.667490,18.231204
2601,54144,423,191.969270,18.052722
2601,54144,542,192.875170,18.065367
2601,54144,630,193.381760,18.039987
2603,54479,484,196.594150,17.828364
2217,53794,155,172.293190,29.105198
2217,53794,183,171.468590,28.987037
2220,53795,445,174.352800,30.711037
2612,54480,591,188.400090,20.059575
2612,54480,599,188.476650,20.166560
2614,54481,424,191.089220,20.024338
2614,54481,428,191.058240,20.031184
2655,54184,143,180.568620,24.374871
2655,54184,305,179.569110,24.315754
2661,54505,36,193.688720,24.206030
2661,54505,564,193.968150,25.182906
6473,56363,848,180.984170,31.106858
2614,54481,383,190.790180,19.928041
2659,54498,62,189.158590,24.428774
2602,54149,317,192.783490,17.176422
2649,54212,260,192.832700,21.230110
2650,54505,294,195.588080,21.071236
2613,54481,408,189.225630,21.328965
2614,54481,402,191.277330,21.169575
5985,56089,350,189.227840,21.330536
2647,54495,122,188.508360,21.355853
2648,54485,46,191.504260,21.147449
2649,54212,361,193.069530,23.530275
2237,53828,360,188.779190,29.942341
2234,53823,239,187.222800,29.840761
2217,53794,372,170.971570,30.053422
2217,53794,376,170.899090,30.037737
2217,53794,381,170.678090,29.880408
2217,53794,384,170.840590,29.999878
2230,53799,568,184.258210,30.705293
2237,53828,302,188.788710,29.744197
2662,54505,220,195.221700,23.164260
2604,54484,515,198.884530,17.556366
2655,54184,229,179.844120,24.497324
2595,54207,172,181.070700,17.243505
2595,54207,178,181.042590,17.207080
2595,54207,181,180.880270,17.150256
2603,54479,352,195.283620,17.770621
2604,54484,549,199.119180,17.449844
2505,53856,56,175.754810,24.370443
2217,53794,430,171.213850,29.480008
2218,53816,379,171.533600,27.909989
2218,53816,459,172.360580,28.082109
2218,53816,567,173.033550,28.055529
2660,54504,66,191.430200,24.663557
2660,54504,67,191.240940,24.771512
2229,53823,255,182.576070,26.430736
2217,53794,203,171.336860,28.021999
2655,54184,618,181.069300,26.148612
6438,56367,765,170.201700,32.289946
2217,53794,265,170.887740,28.566414
2217,53794,288,171.015740,28.458827
2616,54499,506,195.802730,19.977868
2655,54184,364,179.796600,26.027677
2655,54184,456,179.977030,26.069455
2661,54505,1,194.541650,24.348918
2649,54212,246,192.852910,21.572174
1974,53430,91,174.142950,31.657405
2603,54479,570,196.960540,18.415501
2603,54479,574,197.041520,18.375366
2603,54479,608,197.245520,18.329054
2603,54479,620,197.160480,18.432344
2029,53819,531,196.978000,32.306618
2029,53819,534,196.913970,32.236939
2029,53819,573,197.204710,32.293794
2647,54495,14,189.674170,21.659056
2656,54484,602,183.173490,25.996341
2663,54234,614,199.330180,25.214839
2663,54234,615,199.619620,25.220150
5860,56046,658,195.487280,20.437831
2648,54485,259,190.329260,21.672498
2655,54184,443,180.121900,25.694924
2507,53876,527,175.733210,23.128689
2643,54208,405,180.461000,23.291590
2643,54208,406,180.463060,23.306800
2216,53795,549,171.105760,27.002923
2614,54481,230,190.714340,19.228751
2614,54481,166,191.436920,19.177259
2614,54481,168,191.342670,19.189379
2614,54481,415,191.574040,20.783005
2510,53877,4,178.420420,24.412527
2510,53877,15,178.257690,24.830460
2510,53877,81,177.818750,24.329479
2217,53794,394,170.768890,29.457617
2218,53816,236,171.660230,26.360723
2220,53795,585,175.045970,30.029039
5967,56063,280,180.546420,26.299906
5967,56063,431,179.966360,26.300597
2601,54144,492,192.458710,17.866566
2603,54479,500,196.496210,17.776770
2603,54479,516,196.692660,17.671975
2604,54484,429,198.091930,17.551359
2660,54504,552,190.968500,25.291316
2661,54505,284,192.010180,24.504765
2661,54505,573,194.193890,24.997387
2217,53794,215,171.553760,28.366371
2217,53794,217,171.573260,28.366584
2220,53795,82,174.620940,28.587148
2660,54504,287,189.352680,23.864058
2662,54505,266,194.689920,24.233946
2514,53882,8,179.258900,23.699850
2643,54208,407,180.254450,23.724896
2643,54208,444,180.631130,23.839340
2603,54479,634,197.646550,17.544530
2507,53876,472,174.936910,22.685158
2504,54179,611,175.201650,22.754587
2612,54480,462,187.036150,20.179541
2613,54481,431,188.996630,20.046092
2613,54481,461,189.238750,20.109213
2613,54481,493,189.412930,19.966747
3374,54948,468,189.157730,24.428699
2648,54485,232,190.471090,22.348807
2100,53713,242,170.569360,32.658708
2646,54479,252,186.012480,21.759647
2510,53877,607,178.127280,25.314861
2612,54480,58,187.978600,19.108274
2660,54504,520,190.687300,25.418971
2660,54504,545,190.929650,25.471471
2660,54504,594,191.035960,25.416161
2646,54479,421,185.939680,22.884806
2647,54495,636,189.532020,22.698596
2655,54184,511,180.420970,25.088859
2661,54505,23,193.975780,23.802583
2662,54505,211,195.341800,23.794822
2662,54505,213,195.371010,23.768128
2504,54179,621,175.037100,22.553422
2504,54179,622,175.078560,22.407008
2507,53876,480,175.182050,22.431154
2611,54477,541,186.534710,20.335714
2612,54480,481,187.296550,20.367157
2613,54481,498,189.491870,20.346436
2647,54495,395,187.653350,22.760244
2647,54495,492,188.525430,22.803209
2648,54485,467,190.705860,22.772808
5982,56074,166,187.294710,20.365594
5983,56310,688,188.048510,24.031947
2217,53794,150,172.255380,28.820817
2217,53794,170,171.979180,28.892138
2220,53795,268,173.362130,28.939652
2220,53795,278,173.489980,28.987363
2603,54479,614,197.177510,18.077075
2648,54485,437,190.308050,22.594975
2649,54212,310,192.470420,21.995459
5985,56089,868,190.302050,22.589442
6411,56331,256,178.008320,25.749925
2661,54505,277,192.406230,23.992148
2646,54479,108,186.919440,22.077488
2646,54479,546,186.747820,22.639583
2646,54479,595,186.947190,22.562128
2648,54485,149,191.416670,22.052203
2648,54485,169,191.397670,22.057155
2649,54212,559,194.223100,22.373607
2216,53795,587,171.482370,27.139674
2648,54485,365,190.401120,23.425161
2513,54141,602,179.471940,23.225137
2513,54141,611,179.495990,23.124897
2513,54141,612,179.416800,23.104885
2648,54485,509,191.288680,23.039059
2648,54485,513,191.393430,23.072888
2646,54479,589,187.264610,23.268014
2646,54479,604,187.130570,23.304937
2646,54479,637,187.504910,23.183806
2511,53882,355,175.879560,23.011464
2613,54481,221,189.132090,19.664681
2614,54481,306,190.128510,19.689017
1979,53431,101,170.505410,30.502747
2008,53473,308,174.123090,31.325380
2095,53474,207,180.322220,31.278011
2510,53877,114,177.474470,23.385709
2616,54499,79,195.832080,19.291956
2617,54502,110,197.390850,19.218755
1974,53430,68,173.892270,30.946826
1979,53431,4,171.571690,30.973367
5985,56089,8,191.330210,21.535717
5986,56328,350,190.461680,23.507961
2612,54480,74,188.168600,19.600265
2648,54485,100,191.329000,21.535762
2611,54477,103,186.408010,19.734512
2611,54477,173,185.823160,19.723610
2618,54506,298,197.416710,19.331620
5982,56074,238,187.124010,21.599538
2507,53876,545,175.746440,22.657809
2507,53876,569,175.880980,22.725445
2647,54495,505,188.828710,23.025798
2648,54485,87,191.081670,21.470181
2648,54485,377,190.464070,23.510663
2660,54504,188,190.246440,24.871269
2217,53794,477,171.610920,29.397205
2218,53816,573,173.095510,28.055341
2218,53816,580,172.925070,28.153591
2219,53816,326,173.106820,28.056641
2219,53816,330,173.124380,28.112484
2219,53816,331,173.089820,28.048241
2611,54477,608,186.329550,21.051126
2649,54212,62,194.716950,21.760824
2649,54212,129,193.542150,21.000727
2650,54505,270,195.523200,21.651127
2650,54505,310,195.164090,21.691709
2613,54481,606,190.295890,20.995968
2093,53818,253,197.877180,32.526474
2093,53818,296,197.560650,32.717852
2093,53818,299,197.793930,32.689918
2647,54495,203,188.188010,21.024481
2514,53882,433,178.104550,25.234437
2217,53794,519,172.067810,29.299690
2220,53795,301,172.767320,29.301880
2215,53793,609,170.797270,29.941493
2215,53793,611,170.766950,29.941207
2217,53794,413,171.188870,30.054821
2612,54480,71,188.243350,19.922401
5850,56042,936,186.796010,19.818756
2660,54504,79,191.421650,24.955593
2660,54504,235,189.922240,25.039190
2661,54505,415,192.203650,24.999259
2661,54505,457,192.525100,25.022216
2613,54481,18,190.509510,18.987789
2613,54481,1,190.557570,18.937686
2234,53823,163,187.856050,29.185609
2234,53823,164,187.845350,29.136482
2510,53877,147,177.035180,24.216011
2514,53882,187,178.500240,24.331674
2514,53882,240,178.158350,24.307633
2613,54481,369,189.070890,20.998737
2218,53816,224,171.861050,26.680996
2646,54479,83,186.692360,21.262946
2647,54495,247,187.727520,21.247981
2648,54485,91,191.277020,21.171249
2649,54212,563,194.476740,23.515956
2604,54484,346,197.663700,17.436518
2604,54484,478,198.539410,17.367325
2604,54484,480,198.545150,17.261411
2601,54144,586,193.213260,17.748761
2510,53877,616,178.094870,25.083067
2601,54144,470,192.063460,17.774016
